,model,question,solution,answer,accuracy,solvability,appropriateness,mac
1727,finetuned_llama,A bakery baked 120 muffins. They sold 20 muffins in the morning and 30 muffins in the afternoon. A grocery store returned 10 muffins. How many muffins did they have left?,"def solution():
    #The bakers started with 120 muffins
    muffins_baked = 120
    #They sold 20 in the morning and 30 in the afternoon
    muffins_sold_morning = 20
    muffins_sold_afternoon = 30
    #The grocery store returned 10 muffins
    muffins_returned = 10
    #The answer is
    result = muffins_baked - muffins_sold_morning - muffins_sold_afternoon + muffins_returned
    return result",80,1.0,1,1.0,1
1728,finetuned_llama,"Super Mario has 1256 coins. He spends 256 coins to get a mushroom, 320 coins to get a flower, and 64 coins to get a star. How many coins does he have left?","def solution():
    #Super Mario started with 1256 coins
    coins_initial = 1256
    #He spent 256 coins on a mushroom
    coins_spent_mushroom = 256
    #He spent 320 coins on a flower
    coins_spent_flower = 320
    #He spent 64 coins on a star
    coins_spent_star = 64
    #The answer is
    result = coins_initial - coins_spent_mushroom - coins_spent_flower - coins_spent_star
    return result",616,1.0,1,1.0,1
1729,finetuned_llama,"I have 25 lollipops. I gave 9 to my sister, 5 to my brother, and 4 to my best friend. How many lollipops do I have left?","def solution():
    #I started with 25 lollipops
    lollipops_initial = 25
    #I gave 9 to my sister
    lollipops_sister = 9
    #I gave 5 to my brother
    lollipops_brother = 5
    #I gave 4 to my best friend
    lollipops_best_friend = 4
    #The answer is
    result = lollipops_initial - lollipops_sister - lollipops_brother - lollipops_best_friend
    return result",7,1.0,1,1.0,1
1730,finetuned_llama,"Serena Williams has 17 Grand Slam titles. 
She has 11 more Grand Slam titles than her sister, Venus. 
How many Grand Slam titles do they have together?","def solution():
    #Serena has 17 Grand Slam titles
    serena_grand_slams = 17
    #She has 11 more than her sister
    venus_grand_slams = serena_grand_slams - 11
    #The answer is
    result = serena_grand_slams + venus_grand_slams
    return result",23,1.0,1,1.0,1
1731,finetuned_llama,Patrick Mahomes's 40-yard dash time is 4.8 seconds. 0.25 seconds is a good time for a 40-yard dash. How much better is a good 40-yard dash than Patrick Mahomes's 40-yard dash?,"def solution():
    #Patrick Mahomes's 40-yard dash time
    mahomes_40_yard_dash = 4.8
    #Good 40-yard dash time
    good_40_yard_dash = 0.25
    #The answer is
    result = mahomes_40_yard_dash - good_40_yard_dash
    return result",4.55,1.0,1,0.0,0
1732,finetuned_llama,"The field hockey team has 20 players. 40% of the players are from the 10th grade, 30% are from the 11th grade, and the rest are from the 12th grade. How many 12th graders are on the team?","def solution():
    #The total number of players
    total_players = 20
    #40% of the players are from the 10th grade
    tenth_grade_players = 0.40 * total_players
    #30% of the players are from the 11th grade
    eleventh_grade_players = 0.30 * total_players
    #The rest are from the 12th grade
    twelfth_grade_players = total_players - tenth_grade_players - eleventh_grade_players
    #The answer is
    result = twelfth_grade_players
    return result",6.0,1.0,1,1.0,1
1733,finetuned_llama,A baker bakes 200 loaves of bread. He sells 93 in the morning and 39 in the afternoon. A grocery store returns 6 unsold loaves. How many loaves of bread does the baker have left?,"def solution():
    #The baker started with 200 loaves
    loaves_baked = 200
    #He sold 93 in the morning and 39 in the afternoon
    loaves_sold_morning = 93
    loaves_sold_afternoon = 39
    #The grocery store returned 6 loaves
    loaves_returned = 6
    #The answer is
    result = loaves_baked - loaves_sold_morning - loaves_sold_afternoon + loaves_returned
    return result",74,1.0,1,1.0,1
1734,finetuned_llama,"Iron Man has 20000 nuts. He eats 3000 nuts on the first day, 2000 nuts on the second day, and 1000 nuts on the third day. How many nuts does he have left?","def solution():
    #Iron Man started with 20000 nuts
    nuts_initial = 20000
    #He ate 3000 nuts on the first day
    nuts_eaten_first_day = 3000
    #2000 nuts on the second day
    nuts_eaten_second_day = 2000
    #1000 nuts on the third day
    nuts_eaten_third_day = 1000
    #The answer is
    result = nuts_initial - nuts_eaten_first_day - nuts_eaten_second_day - nuts_eaten_third_day
    return result",14000,1.0,1,0.0,0
1735,finetuned_llama,The 25-pound dumbbells at the gym cost $1.25 per pound. The 50-pound dumbbells cost $1.50 per pound. How much more does a 25-pound dumbbell cost than a 50-pound dumbbell?,"def solution():
    #The cost of 25-pound dumbbells is $1.25 per pound
    cost_25_pound = 1.25
    #The cost of 50-pound dumbbells is $1.50 per pound
    cost_50_pound = 1.50
    #The answer is
    result = 25 * cost_25_pound - 50 * cost_50_pound
    return result",-43.75,,0,0.0,0
1736,finetuned_llama,"Mario has 150 coins. He has to pay 10 coins to the toll booth, 30 coins to the parking meter, and 50 coins to the babysitter. How many coins does he have left?","def solution():
    #Mario started with 150 coins
    coins_initial = 150
    #He paid 10 to the toll booth
    toll_booth = 10
    #30 to the parking meter
    parking_meter = 30
    #And 50 to the babysitter
    babysitter = 50
    #The answer is
    result = coins_initial - toll_booth - parking_meter - babysitter
    return result",60,1.0,1,1.0,1
1737,finetuned_llama,"Superman can leap 1000 feet in a single bound. 
How far can he leap in 3 minutes if he leaps 1000 feet every 10 seconds? 
(1 minute is 60 seconds)","def solution():
    #Superman can leap 1000 feet in a single bound
    leap_distance = 1000
    #He leaps 1000 feet every 10 seconds
    leap_rate = 1000 / 10
    #3 minutes is 180 seconds
    leap_time = 3 * 60
    #He can leap
    leaps = leap_time / 10
    #The answer is
    result = leap_distance * leaps
    return result",18000.0,1.0,1,1.0,1
1738,finetuned_llama,"The nether is a dark and scary place. 1/4 of the mobs in the nether are piglins. 1/10 of the piglins are brutes. 1/5 of the brutes are wearing golden armor. If there are 1000 mobs in the nether, how many piglin brutes with golden armor are there?","def solution():
    #Total mobs in the nether
    total_mobs = 1000
    #1/4 of the mobs in the nether are piglins
    piglins = total_mobs * 1/4
    #1/10 of the piglins are brutes
    brutes = piglins * 1/10
    #1/5 of the brutes are wearing golden armor
    golden_armor_brutes = brutes * 1/5
    #The answer is
    result = golden_armor_brutes
    return result",5.0,1.0,1,0.0,0
1739,finetuned_llama,"LeBron James, the all-time leading scorer in the NBA, has 38,390 points. 5,000 of his points are from three-pointers. 12,000 of his points are from two-pointers. The rest of his points are from free-throws. How many free-throws has he made?","def solution():
    # LeBron's total points
    total_points = 38390
    # Points from three-pointers
    three_pointers = 5000
    # Points from two-pointers
    two_pointers = 12000
    # Points from free-throws
    free_throws = total_points - three_pointers - two_pointers
    return free_throws",21390,1.0,1,1.0,1
1740,finetuned_llama,1000 planes left the airport. 200 of them were private planes. 400 of them were military planes. 100 of them were cargo planes. The rest were commercial planes. How many commercial planes left the airport?,"def solution():
    #1000 planes left the airport
    total_planes = 1000
    #200 of them were private planes
    private_planes = 200
    #400 of them were military planes
    military_planes = 400
    #100 of them were cargo planes
    cargo_planes = 100
    #The rest were commercial planes
    commercial_planes = total_planes - private_planes - military_planes - cargo_planes
    return commercial_planes",300,1.0,1,1.0,1
1741,finetuned_llama,Super Mario has 15 mushrooms. 8 of them are red and the rest are green. He ate 3 of the red mushrooms and 5 of the green mushrooms. How many mushrooms does he have left?,"def solution():
    #Super Mario has 15 mushrooms
    mushrooms_total = 15
    #8 of them are red
    mushrooms_red = 8
    #The rest are green
    mushrooms_green = mushrooms_total - mushrooms_red
    #He ate 3 of the red mushrooms and 5 of the green mushrooms
    mushrooms_eaten_red = 3
    mushrooms_eaten_green = 5
    #The answer is
    result = mushrooms_total - mushrooms_eaten_red - mushrooms_eaten_green
    return result",7,1.0,1,1.0,1
1742,finetuned_llama,"Naruto has 1000 ryo. He spends 200 ryo on a new outfit, 300 ryo on a new kunai, and 100 ryo on a new backpack. How much money does he have left?","def solution():
    #Naruto started with 1000 ryo
    ryo_initial = 1000
    #He spent 200 ryo on a new outfit
    ryo_outfit = 200
    #He spent 300 ryo on a new kunai
    ryo_kunai = 300
    #He spent 100 ryo on a new backpack
    ryo_backpack = 100
    #The answer is
    result = ryo_initial - ryo_outfit - ryo_kunai - ryo_backpack
    return result",400,1.0,1,1.0,1
1743,finetuned_llama,"3245.234 was the total cost of the 1000-page report. 100-page and 200-page reports are 2.5 and 3.5, respectively. How much does a 1000-page report cost?","def solution():
    #Total cost of 1000-page report
    total_cost = 3245.234
    #Cost of 100-page report
    cost_100_page = 2.5
    #Cost of 200-page report
    cost_200_page = 3.5
    #Cost of 1000-page report is
    result = (total_cost - (100 * cost_100_page + 200 * cost_200_page)) / 1000
    return result",2.2952339999999998,,0,0.0,0
1744,finetuned_llama,"Leonardo, Raphael, and Michelangelo ate a total of 42 pizzas. Leonardo ate 2/3 of the pizzas. Raphael ate 1/3 of the pizzas. How many pizzas did Michelangelo eat?","def solution():
    # total pizzas
    total_pizzas = 42

    # Leonardo ate 2/3 of the pizzas
    leonardo_pizzas = 2/3 * total_pizzas

    # Raphael ate 1/3 of the pizzas
    raphael_pizzas = 1/3 * total_pizzas

    # Michelangelo ate the rest
    michelangelo_pizzas = total_pizzas - leonardo_pizzas - raphael_pizzas

    return michelangelo_pizzas",0.0,1.0,1,0.0,0
1745,finetuned_llama,1200 people are at a soccer match. 1000 of them are wearing the home team's jersey. 150 of the away team's fans are wearing the away team's jersey. 50 of the people at the match are wearing a jersey of a different soccer team. How many people at the match are not wearing any soccer jerseys?,"def solution():
    #Total people at the match
    total_people = 1200
    #Home team fans
    home_team_fans = 1000
    #Away team fans
    away_team_fans = 150
    #Other team fans
    other_team_fans = 50
    #Fans wearing no jersey
    no_jersey_fans = total_people - home_team_fans - away_team_fans - other_team_fans
    return no_jersey_fans",0,1.0,1,1.0,1
1746,finetuned_llama,Captain Marvel can punch 500 times in a minute. She punched for 20 minutes. How many punches did she throw?,"def solution():
    #Captain Marvel can punch 500 times in a minute
    punches_per_minute = 500
    #She punched for 20 minutes
    minutes = 20
    #The answer is
    result = punches_per_minute * minutes
    return result",10000,1.0,1,1.0,1
1747,finetuned_llama,"The 4:10 PM train from Penn Station to New Haven, CT leaves on time and is 40 minutes late. The 5:10 PM train from Penn Station to New Haven, CT leaves on time and is 20 minutes early. If the trains are on the same track, how many minutes after the 4:10 PM train leaves does the 5:10 PM train catch up to it?","def solution():
    #The 4:10 PM train is 40 minutes late
    time_410_pm_train = 40
    #The 5:10 PM train is 20 minutes early
    time_510_pm_train = 20
    #The 5:10 PM train catches up 
    result = time_410_pm_train - time_510_pm_train
    return result",20,,0,0.0,0
1748,finetuned_llama,"Cory, a baker, baked 200 pies. He sold 123 pies in the morning and 42 pies in the afternoon. 15 pies were returned. How many pies does he have left?","def solution():
    #Cory started with 200 pies
    pies_baked = 200
    #He sold 123 pies in the morning and 42 in the afternoon
    pies_sold_morning = 123
    pies_sold_afternoon = 42
    #15 pies were returned
    pies_returned = 15
    #The answer is
    result = pies_baked - pies_sold_morning - pies_sold_afternoon + pies_returned
    return result",50,1.0,1,1.0,1
