,question,solution,answer,accuracy,explanation
434,"The Ninja Turtles each have a different number of pizza slices. Leonardo has 8 slices, Donatello has 6 slices, Raphael has 9 slices, and Michelangelo has 5 slices. How many pizza slices do they have in total?","def solution():
    #Leonardo has 8 slices
    slices_leonardo = 8
    #Donatello has 6 slices
    slices_donatello = 6
    #Raphael has 9 slices
    slices_raphael = 9
    #Michelangelo has 5 slices
    slices_michelangelo = 5
    #The answer is
    result = slices_leonardo + slices_donatello + slices_raphael + slices_michelangelo
    return result",28,1.0,The solution correctly adds the number of pizza slices for each of the Ninja Turtles to arrive at the total number of slices.
435,"In a Pokémon tournament, Ash has 6 Pikachu, 4 Charizard, and 2 Blastoise. Each Pikachu earns him 20 points, each Charizard 50 points, and each Blastoise 100 points. How many points does Ash have in total?","def solution():
    #Ash has 6 Pikachu, 4 Charizard, and 2 Blastoise
    pikachu = 6
    charizard = 4
    blastoise = 2
    #Each Pikachu earns 20 points, each Charizard 50 points, and each Blastoise 100 points
    pikachu_points = pikachu * 20
    charizard_points = charizard * 50
    blastoise_points = blastoise * 100
    #The total points Ash earns is
    total_points = pikachu_points + charizard_points + blastoise_points
    return total_points",520,1.0,The solution correctly multiplies the number of each Pokémon by the points they earn and sums them up to calculate Ash's total points.
436,"A pizza parlor sells large pizzas for $20 each. If a group of friends orders 3 pizzas, how much will they spend in total?","def solution():
    #The pizza cost $20 each
    pizza_cost = 20
    #The group ordered 3 pizzas
    pizzas_ordered = 3
    #The total cost is
    result = pizza_cost * pizzas_ordered
    return result",60,,
437,Spiderman swings from his web at a speed of 50 miles per hour. He needs to travel a distance of 100 miles. How long will it take him to reach his destination?,"def solution():
    #Spiderman swings at a speed of 50 miles per hour
    speed = 50
    #He needs to travel a distance of 100 miles
    distance = 100
    #The time it will take him to reach his destination is
    time = distance / speed
    return time",2,1.0,"The solution correctly calculates the time by dividing the distance of 100 miles by the speed of 50 miles per hour, resulting in a travel time of 2 hours."
438,Superman is able to lift an object weighing 500 pounds. He is presented with a challenge to lift a car that weighs 1200 pounds. How many additional pounds must he be able to lift to complete the challenge?,"def solution():
    #Superman can lift an object weighing 500 pounds
    max_weight_lifted = 500
    #The car he needs to lift weighs 1200 pounds
    car_weight = 1200
    #To complete the challenge, he needs to be able to lift
    additional_weight = car_weight - max_weight_lifted
    return additional_weight",700,1.0,The solution correctly identifies Superman's maximum weight lifting capability and the weight of the car. It then correctly calculates the additional weight he needs to lift by subtracting the maximum weight he can currently lift from the weight of the car to arrive at the correct answer.
439,Barbie has 45 dresses in her closet. She gets 9 more dresses from her friends and buys 12 more dresses at the store. Barbie then gives away 7 dresses to her little sister. How many dresses does Barbie have now?,"def solution():
    #Barbie starts with 45 dresses
    initial_dresses = 45
    #Barbie gets 9 more dresses from her friends
    dresses_from_friends = 9
    #Barbie buys 12 more dresses from the store
    dresses_bought = 12
    #Barbie gave away 7 dresses to her sister
    dresses_given_away = 7
    #Total dresses Barbie has now
    total_dresses = initial_dresses + dresses_from_friends + dresses_bought - dresses_given_away
    return total_dresses",59,1.0,"The solution correctly adds the number of dresses Barbie receives from her friends and those she buys at the store to her initial number of dresses, and then subtracts the dresses she gives away to her sister, resulting in the correct number of dresses Barbie has now."
440,"Taylor Swift is planning her concert. She wants to have 4 backup dancers for every 5 songs she performs. If she will perform a total of 25 songs, how many backup dancers does she need to hire?",[Python function provided above],20,1.0,The solution correctly calculates the proportion of backup dancers to songs and multiplies it by the total number of songs to determine the correct number of backup dancers needed.
441,Batman has 20 batarangs in his utility belt. He used 6 to defeat the Joker and 5 to take down the Riddler. How many batarangs does he have left?,"def solution():
    #Batman started with 20 batarangs
    batarangs_initial = 20
    #He used 6 to defeat the Joker
    batarangs_joker = 6
    #He used 5 to take down the Riddler
    batarangs_riddler = 5
    #The answer is
    result = batarangs_initial - batarangs_joker - batarangs_riddler
    return result",9,1.0,"The solution correctly subtracts the number of batarangs used to defeat the Joker and the Riddler from the initial number of batarangs Batman had, thus arriving at the correct remaining count."
442,"Barbie wants to make a lemonade stand. She needs to buy cups and lemons. Each cup costs $0.25 and each lemon costs $0.50. If she wants to make 50 cups of lemonade, and she needs 2 lemons per cup, how much will she spend on cups and lemons in total?","def solution():
    #Barbie wants to make 50 cups of lemonade
    cups_needed = 50
    #Each cup costs $0.25
    cup_cost = 0.25
    #She needs 2 lemons per cup
    lemons_needed = cups_needed * 2
    #Each lemon costs $0.50
    lemon_cost = 0.50
    #She needs to spend on cups
    cups_total_cost = cups_needed * cup_cost
    #She needs to spend on lemons
    lemons_total_cost = lemons_needed * lemon_cost
    #The answer is the total amount spent
    result = cups_total_cost + lemons_total_cost
    return result",62.5,1.0,"The solution correctly calculates the total cost for the cups by multiplying the number of cups needed by the cost per cup. It then calculates the total cost for the lemons by calculating the number of lemons needed (50 cups * 2 lemons each = 100 lemons) and multiplying by the cost per lemon. Finally, the solution adds the two amounts together to get the total cost, which matches the provided answer."
443,"Thor has 100 lightning bolts. He uses 20 of them to defeat Loki, 30 of them to save Asgard, and gives 10 of them to his fellow Avengers. How many lightning bolts does he have left?","def solution():
    #Thor started with 100 lightning bolts
    bolts_initial = 100
    #He used 20 to defeat Loki
    bolts_loki = 20
    #He used 30 to save Asgard
    bolts_asgard = 30
    #He gave 10 to his fellow Avengers
    bolts_avengers = 10
    #The answer is
    result = bolts_initial - bolts_loki - bolts_asgard - bolts_avengers
    return result",40,1.0,"The solution correctly defines the initial number of lightning bolts and then correctly subtracts the number of bolts used to defeat Loki, the number used to save Asgard, and the number given to the Avengers. The result is correct and matches the answer provided."
